price,form,interface,speed,gig,sgig,brand,supplier,comment
509.00,"3.5""",SATA,"RPM:  7200",12000,0.042,Seagate,CPL,"Seagate ST12000NT001 IronWolf Pro NAS 3.5"" 7200RPM SATA HDD 12TB"
409.00,"3.5""",SATA,"RPM:  7200",10000,0.041,Seagate,CPL,"Seagate ST10000NT001 IronWolf Pro NAS 3.5"" 7200RPM SATA HDD 10TB"
389.00,"3.5""",SATA,SATA,10000,0.039,Seagate,CPL,"Seagate ST10000NM017B EXOS 7E10 Internal 3.5"" SATA DRIVE 10TB"
131.00,"3.5""",SATA,SATA,3000,0.044,Seagate,CPL,"Seagate ST3000VX015 Skyhawk Surveillance 3.5"" Internal SATA Drive 3TB"
964.00,"3.5""",SATA?,?,22000,0.044,WD,CPL,"WD WD221PURP Purple Pro 22TB 3.5"" Surveillance HDD"
939.00,"3.5""",SATA,"RPM:  7200",22000,0.043,WD,CPL,"WD WD221KFGX Red Pro 22TB 3.5'' NAS HDD SATA3 7200RPM 512MB Cache"
158.00,"3.5""",SATA,SATA,4000,0.040,Seagate,CPL,"Seagate ST4000VN006 IronWolf NAS 4TB 3.5"" SATA HDD"
599.00,"3.5""",SATA,SATA,8000,0.075,Synology,CPL,"Synology HAT5310-8T HAT5310 8TB 3.5"" Enterprise SATA HDD"
859.00,"3.5""",SATA,"RPM:  7200",20000,0.043,WD,CPL,"WD WD201KFGX Red Pro 20TB 3.5"" SATA3 7200RPM NAS HDD"
355.00,"3.5""",SATA,"RPM:  7200",8000,0.044,Seagate,CPL,"Seagate ST8000NM017B Exos 7E10 8TB 512E/4kn SATA 7200RPM 3.5"" 256MB Cache 5 Years Warranty"
439.00,"3.5""",SATA,"RPM:  7200",12000,0.037,Seagate,CPL,"Seagate ST12000NM000J Exos X18 12TB HDD 512E/4KN SATA 7200RPM 3.5"" 256MB Cache 5 Years Warranty"
289.00,"3.5""",SATA,"RPM:  7200",4000,0.072,Seagate,CPL,"SEAGATE ST4000DX005 FIRECUDA INTERNAL 3.5"" SATA DRIVE_ 4TB_ 6GB/S_ 7200RPM_ 5YR WTY"
749.00,"3.5""",SATA,"RPM:  7200",18000,0.042,WD,CPL,"WD WD181PURP HDD 3.5"" Internal SATA 18TB Purple Pro 7200 RPM"
90.00,"3.5""",SATA,SATA,2000,0.045,WD,CPL,"WD WD20EZBX Blue 3.5"" SATA 2TB HDD"
444.00,"3.5""",SATA,"RPM:  7200",10000,0.044,WD,CPL,"WD WD101EFBX Red Plus 10TB 3.5' NAS HDD SATA3 7200RPM 256MB"
799.00,"3.5""",SATA,"RPM:  7200",18000,0.044,WD,CPL,"WD WD181KFGX Red Pro 18TB 3.5' NAS HDD SATA3 7200RPM 512MB Cache 24x7 NASware 3.0 CMR Tech 5yrs wty"
714.00,"3.5""",SATA,"RPM:  7200",16000,0.045,WD,CPL,"WD WD161KFGX Red Pro 16TB 3.5' NAS HDD SATA3 7200RPM 512MB Cache 24x7 NASware 3.0 CMR Tech 5yrs wty"
529.00,?,?,?,12000,0.044,WD,CPL,"WD WD121KFBX Red Pro 12TB NAS HARD DRIVE"
449.00,"3.5""",SATA,SATA,12000,0.037,Seagate,CPL,"Seagate ST12000VN0008 12TB IronWolf NAS 3.5"" SATA DRIVE"
105.00,"3.5""",SATA,SATA3,2000,0.052,Seagate,CPL,"Seagate ST2000DM008 Barracuda 2TB 3.5"" SATA3 HDD"
225.00,"3.5""",SATA?,?,8000,0.028,Seagate,CPL,"Seagate ST8000DM004 8TB Barracuda 3.5"" HDD"
155.00,"3.5""",SATA?,?,4000,0.039,Seagate,CPL,"Seagate Barracuda ST4000DM004 3.5"" 4TB HDD"
279.00,"3.5""",SATA?,?,6000,0.046,WD,CPL,"WD WD64PURZ Purple 3.5'' Surveillance Hard Drive 6TB"
95.00,"3.5""",SATA?,?,1000,0.095,WD,CPL,"WD WD10PURZ 1TB Purple Internal 3.5"" Desktop Hard Drive"
207.00,"3.5""",SATA,SATA,2000,0.103,WD,CPL,"WD WD2002FFSX 2TB Red Pro Internal 3.5"" Desktop SATA Drive"
234.00,"3.5""",SATA?,?,2000,0.117,WD,CPL,"WD 2TB 3.5 Inch Caviar Black Internal Hard WD2003FZEX"
89.00,"3.5""",SATA,"RPM:  7200",1000,0.089,WD,CPL,"WD 1TB 3.5 Inch SATA3 7200rpm 64MB Caviar Blue Internal HDD WD10EZEX"
145.00,"3.5""",SATA?,"RPM:  7200",1000,0.145,WD,CPL,"WD 1TB Black 7200RPM 6Gb/s 3.5-Inch Internal Hard Drive WD1003FZEX"
1071.10,"3.5""",SATA?,?,24000,0.045,?,CPL,"Ubiquiti UACC-HDD-E-24TB UniFi Enterprise 3.5"" HDD 24TB"
629.00,?,?,?,8000,0.079,Synology,CPL,"Synology HAT5320-8T HAT5320 8TB NAS HDD"
229.00,M.2,SATA,SATA,2000,0.115,WD,CPL,"WD WDS200T3B0B Blue SA510 SATA M.2 2280 SSD 2TB"
78.20,?,SATA,SATA,500,0.156,SanDisk,CPL,"SanDisk SDSSDH3-500G-G26 Ultra 3D SATA SSD 500GB"
729.00,M.2,NVME,PCIe5,4000,0.182,Crucial,CPL,"Crucial CT4000T705SSD5 T705 4TB PCIe 5.0 NVMe M.2 SSD with Heatsink"
239.00,M.2,NVME,PCIe5,1000,0.239,Crucial,CPL,"Crucial CT1000T705SSD5 T705 1TB PCIe 5.0 NVMe M.2 SSD with Heatsink"
219.00,M.2,NVME,PCIe5,1000,0.219,Crucial,CPL,"Crucial CT1000T705SSD3 T705 1TB PCIe 5.0 NVMe M.2 SSD"
3464.00,"2.5""",SATA,SATA,7000,0.495,Synology,CPL,"Synology SAT5210-7000G SAT5210 7TB 2.5"" SATA Enterprise SSD"
239.00,M.2,NVME,PCIe4,2000,0.119,Crucial,CPL,"Crucial CT2000T500SSD5 T500 2TB PCIe Gen4 NVMe M.2 SSD with Heatsink"
135.00,M.2,NVME,PCIe4,1000,0.135,Crucial,CPL,"Crucial CT1000T500SSD8 T500 1TB PCIe Gen4 NVMe M.2 SSD"
199.00,M.2,NVME,?,1000,0.199,Seagate,CPL,"SEAGATE ZP1024GV3A002 FIRECUDA 520N M.2 NVMe SSD 1TB"
555.00,M.2,NVME,PCIe4,4000,0.139,Samsung,CPL,"Samsung MZ-V9P4T0CW 990 Pro PCIe 4.0 NVMe M.2 SSD 4TB & Heatsink"
685.00,M.2,NVME,?,4000,0.171,Crucial,CPL,"Crucial CT4000T700SSD5 T700 4TB PCIe Gen5 NVMe M.2 SSD with Heatsink"
229.00,M.2,NVME,?,1000,0.229,Crucial,CPL,"Crucial CT1000T700SSD5 T700 1TB PCIe Gen5 NVMe M.2 SSD with Heatsink"
205.00,M.2,NVME,PCIe4,2000,0.102,Kingston,CPL,"Kingston SFYRD/2000G FURY Renegade PCIe 4.0 NVMe M.2 SSD 2000GB"
364.00,M.2,NVME,?,2000,0.182,Team,CPL,"Team TM8FF1002T0C129 Cardea Z540 M.2 2280 NVMe PCIe Gen5 SSD 2TB"
319.00,M.2,NVME,?,2000,0.160,Crucial,CPL,"Crucial CT2000T700SSD3 T700 2TB PCIe Gen5 x4 NVMe 2.0 M.2 SSD"
989.00,"2.5""",SATA,SATA,3840,0.258,Kingston,CPL,"Kingston SEDC600M/3840G DC600M 2.5"" Enterprise SATA SSD 3840GB"
199.00,"2.5""",SATA,SATA,480,0.415,Kingston,CPL,"Kingston SEDC600M/480G DC600M 2.5"" Enterprise SATA SSD 480GB"
569.00,"2.5""",SATA,SATA,1920,0.296,Kingston,CPL,"Kingston SEDC600M/1920G DC600M 2.5"" Enterprise SATA SSD 1920GB"
299.00,"2.5""",SATA,SATA,960,0.311,Kingston,CPL,"Kingston SEDC600M/960G DC600M 2.5"" Enterprise SATA SSD 960GB"
2177.00,"2.5""",SATA,SATA,7680,0.283,Micron,CPL,"Micron MTFDDAK7T6TGA-1BC1ZABYYR 5400PRO 7.68TB 2.5'' SATA SSD"
1187.00,"2.5""",SATA,SATA,3840,0.309,Micron,CPL,"Micron MTFDDAK3T8TGA-1BC1ZABYYR 5400PRO 3.84TB 2.5'' SATA SSD"
282.20,M.2,NVME,PCIe4,2000,0.141,Kingston,CPL,"Kingston SFYRDK/2000G Fury Renegade 2TB PCIe Gen4 NVMe M.2 SSD With Heat Sink"
1199.00,?,NVME,?,3840,0.312,Micron,CPL,"Micron MTFDKCB3T8TFR-1BC1ZABYYR 7400 3.84TB Gen4 NVMe U.3 Enterprise SSD"
1286.00,M.2,NVME,?,3840,0.335,Micron,CPL,"Micron MTFDKBG3T8TFR-1BC1ZABYYR 7450 Pro 3.84TB Gen4 NVMe m.2 Enterprise SSD"
