date,price,form,interface,speed,gig,sgig,brand,supplier,comment
2019-12-11,115.00,?,SATA,"RPM:  7200",?,?,Seagate,MSY,"Cost-effective 7200 RPM internal hard drive upgrade for laptop or desktop computers allows you to store all of your games_ music_ movies_ and more Seagate BarraCuda’s SATA 6Gb/s interface optimizes burst performance while Seagate Secure models offer hardware-based data security"
2019-12-22,9999.00,?,SATA,"RPM:  7200",?,?,Seagate,MSY,"Cost-effective 7200 RPM internal hard drive upgrade for laptop or desktop computers allows you to store all of your games_ music_ movies_ and more Seagate BarraCuda’s SATA 6Gb/s interface optimizes burst performance while Seagate Secure models offer hardware-based data security"
2021-02-07,30.00,"2.5""",SATA,SATA,120,0.250,Crucial,MSY,"Crucial 2.5"" BX500 120GB (CT120BX500SSD1) 3D NAND SATA SSD Solid State Drive"
2021-01-03,31.00,"2.5""",SATA,SATA,120,0.258,Crucial,MSY,"Crucial 2.5"" BX500 120GB (CT120BX500SSD1) 3D NAND SATA SSD Solid State Drive"
2020-10-18,32.00,"2.5""",SATA,SATA,120,0.267,Crucial,MSY,"Crucial 2.5"" BX500 120GB (CT120BX500SSD1) 3D NAND SATA SSD Solid State Drive"
2021-03-21,33.00,"2.5""",SATA,SATA,120,0.275,Crucial,MSY,"Crucial 2.5"" BX500 120GB (CT120BX500SSD1) 3D NAND SATA SSD Solid State Drive"
2021-03-28,125.00,"2.5""",SATA,SATA,1000,0.125,Crucial,MSY,"Crucial 2.5"" BX500 1TB (CT1000BX500SSD1) 3D NAND SATA Solid State Drive SSD"
2021-02-28,127.00,"2.5""",SATA,SATA,1000,0.127,Crucial,MSY,"Crucial 2.5"" BX500 1TB (CT1000BX500SSD1) 3D NAND SATA Solid State Drive SSD"
2021-02-21,130.00,"2.5""",SATA,SATA,1000,0.130,Crucial,MSY,"Crucial 2.5"" BX500 1TB (CT1000BX500SSD1) 3D NAND SATA Solid State Drive SSD"
2021-02-07,131.00,"2.5""",SATA,SATA,1000,0.131,Crucial,MSY,"Crucial 2.5"" BX500 1TB (CT1000BX500SSD1) 3D NAND SATA Solid State Drive SSD"
2021-01-03,134.00,"2.5""",SATA,SATA,1000,0.134,Crucial,MSY,"Crucial 2.5"" BX500 1TB (CT1000BX500SSD1) 3D NAND SATA Solid State Drive SSD"
2020-10-18,135.00,"2.5""",SATA,SATA,1000,0.135,Crucial,MSY,"Crucial 2.5"" BX500 1TB (CT1000BX500SSD1) 3D NAND SATA Solid State Drive SSD"
2021-01-17,39.00,"2.5""",SATA,SATA,240,0.163,Crucial,MSY,"Crucial 2.5"" BX500 240GB (CT240BX500SSD1) 3D NAND SATA SSD Solid State Drive"
2021-01-03,42.00,"2.5""",SATA,SATA,240,0.175,Crucial,MSY,"Crucial 2.5"" BX500 240GB (CT240BX500SSD1) 3D NAND SATA SSD Solid State Drive"
2020-12-27,43.00,"2.5""",SATA,SATA,240,0.179,Crucial,MSY,"Crucial 2.5"" BX500 240GB (CT240BX500SSD1) 3D NAND SATA SSD Solid State Drive"
2020-10-18,45.00,"2.5""",SATA,SATA,240,0.188,Crucial,MSY,"Crucial 2.5"" BX500 240GB (CT240BX500SSD1) 3D NAND SATA SSD Solid State Drive"
2021-02-07,245.00,"2.5""",SATA,SATA,2000,0.122,Crucial,MSY,"Crucial 2.5"" BX500 2TB (CT2000BX500SSD1) 3D NAND SATA Solid State Drive SSD"
