date,price,form,interface,speed,gig,sgig,brand,supplier,comment
2019-10-18,479.00,3.5",SATA,RPM:  7200,10000,0.048,Seagate,CPL,Seagate ST10000VX0008 10TB SkyHawk Surveillance HDD 3.5" SATA 7200RPM
2019-10-18,69.00,3.5",SATA?,RPM:  5700,1000,0.069,Toshiba,CPL,Toshiba HDWU110UZSVA 1TB V300 Video Stream INT 3.5" 5700RPM HDD
2019-10-18,219.00,3.5",SATA,RPM:  7200,2000,0.110,Hitachi,CPL,Hitachi HGST 1W10002 3.5in 2TB SATA3 7200RPM UltraStar HDD
2019-10-18,479.00,3.5",SATA,SATA,8000,0.060,WD,CPL,WD 0B36404 8TB Ultrastar Enterprise HC320 3.5" SATA 256MB Hard Drive
2019-10-18,339.00,3.5",SATA,RPM:  7200,6000,0.057,WD,CPL,WD 0B36039 6TB Ultrastar DC HC310 7200 RPM SATA 6.0Gb/s 3.5" Hard Drives 5 Years Warranty
2019-10-18,279.00,3.5",SATA,RPM:  7200,4000,0.070,WD,CPL,WD 0B35950 4TB Ultrastar Enterprise 3.5" SATA_ 128MB Cache_ 24x7 7200RPM 6Gb/s. 5 Years Warranty
2019-10-18,135.00,3.5",SATA?,?,1000,0.135,WD,CPL,WD WD1005FBYZ 1TB Gold DATACENTER 3.5" Enterprise HDD
2019-10-18,435.00,3.5",SAS,?,6000,0.072,Seagate,CPL,Seagate ST6000NM0095 6TB EXOS SAS Enterprise 512E Internal 3.5" HDD
2019-10-18,699.00,2.5",SAS,?,2400,0.291,Seagate,CPL,Seagate ST2400MM0129 2.4TB_ EXOS ENTERPRISE 512E INTERNAL 2.5" SAS DRIVE
2019-10-18,829.00,3.5",SATA,RPM:  7200,10000,0.083,Seagate,CPL,Seagate ST10000NM0016 10TB Exos X10 7200RPM SATA 3.5 HDD
2019-10-18,119.00,3.5",SATA,SATA3,1000,0.119,WD,CPL,WD HGST Ultrastar DC HA210 HUS722T1TALA604 1W10001 1TB 3.5" 512n SATA3 Hard Drive 
2019-10-18,599.00,2.5",SATA?,RPM:  7200,1000,0.599,HP,CPL,HP 1TB 7.2K 2.5" MDL SC HDD  832514-B21
2019-10-18,1189.00,3.5",SATA,SATA,14000,0.085,Seagate,CPL,Seagate ST14000NM0018 14TB Exos Enterprise 512E/4Kn Internal 3.5" Sata Drive
